word,proportion in topic 0,proportion in topic 1,proportion in topic 2,proportion in topic 3,proportion in topic 4,p(topic0|word),p(topic1|word),p(topic2|word),p(topic3|word),p(topic4|word)
martin,0,0.00026665212,0,0,0,0,1.0,0,0,0
cast,0,0,0,0,0.0001775778,0,0,0,0,1.0
implausible,2.0663752e-05,0,0,0,0,1.0,0,0,0,0
secondary,0,0,0.00027526694,0.00019872167,9.2395305e-05,0,0,0.4860076945437452,0.3508603678892387,0.16313193756701613
conditional,4.9774502e-05,0,0,0.00011376245,0,0.3043624192053446,0,0,0.6956375807946553,0
engineering,0.00023693654,0.0004374548,7.297487e-05,0.0013489497,0.0001691074,0.1045881958962326,0.19310068006346354,0.03221246584616396,0.5954515063864932,0.07464715180764671
equine,2.0083062e-05,0,0,0,0,1.0,0,0,0,0
octob,0,0,1.014835e-05,0,0,0,0,1.0,0,0
iciently,0,0,0,0,2.3514032e-05,0,0,0,0,1.0
heritage,5.828566e-05,0,0,2.3014607e-05,9.7384625e-05,0.3261924310653141,0,0,0.1287999605998217,0.5450076083348642
mitchell,0,0,0,2.5581654e-05,2.3514007e-05,0,0,0,0.5210573300914669,0.47894266990853307
dab,8.787428e-05,0,0,0,0,1.0,0,0,0,0
implicit,0.00013926522,0.0002733784,0.000100400655,0,0.00011253867,0.22261671694068713,0.4369978393910434,0.16049135872724213,0,0.17989408494102732
purport,0,0,0,2.5574385e-05,0,0,0,0,1.0,0
useless,0,0,1.0548137e-05,0,0,0,0,1.0,0,0
replication,0.00034783696,0,0,0,0.00023248389,0.5993873269483238,0,0,0,0.40061267305167625
skin,0,0,1.0548167e-05,0,2.35141e-05,0,0,0.30967307416363693,0,0.690326925836363
prey,0,0.0021245652,0,0.00015082753,0,0,0.9337136268186171,0,0.0662863731813829,0
